	Concurso	Data	Bola1	Bola2	Bola3	Bola4	Bola5	Bola6	Bola7	Bola8	Bola9	Bola10	Bola11	Bola12	Bola13	Bola14	Bola15	Arrecadacao	Ganhadores	Numero1	Numero2	Numero3	Numero4	Numero5	Numero6	Numero7	Numero8	Numero9	Numero10	Numero11	NUmero12	Numero13	Numero14	Numero15										
1	48	23/08/2004	15	6	21	20	2	17	5	23	11	7	13	16	18	19	22	0	2	#N/A	2	#N/A	#N/A	5	6	7	#N/A	#N/A	#N/A	11	#N/A	13	#N/A	15	16	17	18	19	20	21	22	23	#N/A	#N/A
1	49	30/08/2004	11	2	24	8	20	16	4	13	19	6	15	22	5	23	21	0	0	#N/A	2	#N/A	4	5	6	#N/A	8	#N/A	#N/A	11	#N/A	13	#N/A	15	16	#N/A	#N/A	19	20	21	22	23	24	#N/A
1	50	06/09/2004	2	3	7	25	21	23	10	1	13	11	20	6	12	19	9	0	1	1	#N/A	3	#N/A	#N/A	6	7	#N/A	9	10	11	12	13	#N/A	#N/A	#N/A	#N/A	#N/A	19	20	21	#N/A	23	#N/A	25
1	51	13/09/2004	8	1	13	14	5	22	21	7	6	23	3	17	20	11	16	0	2	1	#N/A	3	#N/A	5	6	7	8	#N/A	#N/A	11	#N/A	13	14	#N/A	16	17	#N/A	#N/A	20	21	22	23	#N/A	#N/A
1	52	20/09/2004	25	4	16	2	15	21	12	9	11	8	24	23	1	13	22	0	3	1	2	#N/A	4	#N/A	#N/A	#N/A	8	9	#N/A	11	12	13	#N/A	15	16	#N/A	#N/A	#N/A	#N/A	21	22	23	24	25
1	53	27/09/2004	23	3	7	17	20	14	12	2	18	24	6	1	11	9	19	0	4	1	2	3	#N/A	#N/A	6	7	#N/A	9	#N/A	11	12	#N/A	14	#N/A	#N/A	17	18	19	20	#N/A	#N/A	23	24	#N/A
1	54	04/10/2004	22	8	12	9	21	5	20	4	24	2	7	6	14	16	18	0	27	#N/A	2	#N/A	4	5	6	7	8	9	#N/A	#N/A	12	#N/A	14	#N/A	16	#N/A	18	#N/A	20	21	22	#N/A	24	#N/A
1	55	11/10/2004	4	6	12	15	2	3	13	16	8	9	7	25	5	18	19	0	6	#N/A	2	3	4	5	6	7	8	9	#N/A	#N/A	12	13	#N/A	15	16	#N/A	18	19	#N/A	#N/A	#N/A	#N/A	#N/A	25
1	56	18/10/2004	19	1	5	14	16	15	17	2	13	22	20	12	23	9	24	0	0	1	2	#N/A	#N/A	5	#N/A	#N/A	#N/A	9	#N/A	#N/A	12	13	14	15	16	17	#N/A	19	20	#N/A	22	23	24	#N/A
1	57	25/10/2004	25	17	8	11	3	6	19	22	21	7	20	1	4	12	2	0	1	1	2	3	4	#N/A	6	7	8	#N/A	#N/A	11	12	#N/A	#N/A	#N/A	#N/A	17	#N/A	19	20	21	22	#N/A	#N/A	25
1	58	01/11/2004	20	14	11	13	19	18	15	16	5	3	6	12	17	22	4	0	6	#N/A	#N/A	3	4	5	6	#N/A	#N/A	#N/A	#N/A	11	12	13	14	15	16	17	18	19	20	#N/A	22	#N/A	#N/A	#N/A
1	59	08/11/2004	6	8	14	1	23	20	3	15	25	11	5	7	13	10	19	0	2	1	#N/A	3	#N/A	5	6	7	8	#N/A	10	11	#N/A	13	14	15	#N/A	#N/A	#N/A	19	20	#N/A	#N/A	23	#N/A	25
